trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
American Cars,Annie,226869,electropop,0.567,0.588,7.0,-8.117,0.0,0.0315,0.149,0.00298,0.126,0.634,79.381,audio_features,7t1C2Z5kYtmhZGMs5mIFz2,spotify:track:7t1C2Z5kYtmhZGMs5mIFz2,https://api.spotify.com/v1/tracks/7t1C2Z5kYtmhZGMs5mIFz2,https://api.spotify.com/v1/audio-analysis/7t1C2Z5kYtmhZGMs5mIFz2,226869.0,4.0
Beach House,The Chainsmokers,206120,electropop,0.4,0.838,0.0,-4.491,1.0,0.0526,0.174,0.0,0.341,0.533,179.945,audio_features,2bQhVQbV7VBzSOPo8mbkUR,spotify:track:2bQhVQbV7VBzSOPo8mbkUR,https://api.spotify.com/v1/tracks/2bQhVQbV7VBzSOPo8mbkUR,https://api.spotify.com/v1/audio-analysis/2bQhVQbV7VBzSOPo8mbkUR,206120.0,4.0
CHARGER (ft. Charli XCX),ELIO,884722,electropop,0.804,0.593,1.0,-10.459,1.0,0.045,0.171,0.063,0.115,0.473,114.04,audio_features,3InNdtWYQV1Wx81qST5rU1,spotify:track:3InNdtWYQV1Wx81qST5rU1,https://api.spotify.com/v1/tracks/3InNdtWYQV1Wx81qST5rU1,https://api.spotify.com/v1/audio-analysis/3InNdtWYQV1Wx81qST5rU1,147368.0,4.0
Call You Mine,The Chainsmokers,218436,electropop,0.585,0.696,4.0,-5.6,0.0,0.0307,0.204,0.0,0.344,0.522,104.01,audio_features,2oejEp50ZzPuQTQ6v54Evp,spotify:track:2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/tracks/2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/audio-analysis/2oejEp50ZzPuQTQ6v54Evp,217640.0,4.0
Cool Kids,Echosmith,80648,electropop,0.719,0.671,8.0,-6.279,1.0,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,audio_features,13P5rwmk2EsoFRIz9UCeh9,spotify:track:13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/tracks/13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9,237627.0,4.0
Down,Marian Hill,1070975,electropop,0.678,0.357,0.0,-14.712,0.0,0.128,0.675,0.00569,0.124,0.0661,113.301,audio_features,5eCkuGPZNl4mISFNPgr3Dd,spotify:track:5eCkuGPZNl4mISFNPgr3Dd,https://api.spotify.com/v1/tracks/5eCkuGPZNl4mISFNPgr3Dd,https://api.spotify.com/v1/audio-analysis/5eCkuGPZNl4mISFNPgr3Dd,197773.0,5.0
Fading,Shallou,3037047,electropop,0.693,0.728,2.0,-7.621,0.0,0.034,0.0758,0.000833,0.103,0.512,114.998,audio_features,77GXioLcswmFLd6wAqN2Eo,spotify:track:77GXioLcswmFLd6wAqN2Eo,https://api.spotify.com/v1/tracks/77GXioLcswmFLd6wAqN2Eo,https://api.spotify.com/v1/audio-analysis/77GXioLcswmFLd6wAqN2Eo,283493.0,4.0
High (& Dua Lipa),Whethan,23096,electropop,0.708,0.552,10.0,-5.552,0.0,0.21,0.0922,0.0,0.0541,0.686,147.834,audio_features,3dD9yyYTQ73SZvyOygyKva,spotify:track:3dD9yyYTQ73SZvyOygyKva,https://api.spotify.com/v1/tracks/3dD9yyYTQ73SZvyOygyKva,https://api.spotify.com/v1/audio-analysis/3dD9yyYTQ73SZvyOygyKva,196707.0,4.0
Hope,The Chainsmokers,1014144,electropop,0.773,0.699,1.0,-5.982,0.0,0.0958,0.488,3.6e-06,0.0814,0.513,104.941,audio_features,4BiiOzZCrXEzHRLYcYFiD5,spotify:track:4BiiOzZCrXEzHRLYcYFiD5,https://api.spotify.com/v1/tracks/4BiiOzZCrXEzHRLYcYFiD5,https://api.spotify.com/v1/audio-analysis/4BiiOzZCrXEzHRLYcYFiD5,180120.0,4.0
I Don't Know Why,NOTD,1596506,electropop,0.499,0.898,8.0,-4.181,0.0,0.124,0.124,7.2e-06,0.0832,0.618,120.04,audio_features,0ZXdzaT1k688dkpNeEgQiV,spotify:track:0ZXdzaT1k688dkpNeEgQiV,https://api.spotify.com/v1/tracks/0ZXdzaT1k688dkpNeEgQiV,https://api.spotify.com/v1/audio-analysis/0ZXdzaT1k688dkpNeEgQiV,207668.0,4.0
