trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
NO LOVE,Shubh,34056,punjabi hip hop,0.768,0.487,4.0,-8.936,0.0,0.0431,0.24,0.0,0.175,0.722,137.034,audio_features,08Isz2ETWSBhvIl8UpKYsp,spotify:track:08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/tracks/08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/audio-analysis/08Isz2ETWSBhvIl8UpKYsp,170388.0,4.0
No Bitches,Real Boss,4540,punjabi hip hop,0.71,0.665,0.0,-6.019,1.0,0.428,0.416,0.0,0.119,0.598,88.277,audio_features,5FphPGo9gyIIsFnS1JK4KX,spotify:track:5FphPGo9gyIIsFnS1JK4KX,https://api.spotify.com/v1/tracks/5FphPGo9gyIIsFnS1JK4KX,https://api.spotify.com/v1/audio-analysis/5FphPGo9gyIIsFnS1JK4KX,165378.0,4.0
No Love,Shubh,247883,punjabi hip hop,0.768,0.487,4.0,-8.936,0.0,0.0431,0.24,0.0,0.175,0.722,137.034,audio_features,08Isz2ETWSBhvIl8UpKYsp,spotify:track:08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/tracks/08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/audio-analysis/08Isz2ETWSBhvIl8UpKYsp,170388.0,4.0
WE ROLLIN,Shubh,299129,punjabi hip hop,0.82,0.504,4.0,-9.113,0.0,0.141,0.261,7e-06,0.104,0.275,85.016,audio_features,6ZYxNjuAU9Vy3VtF6W1dtE,spotify:track:6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/tracks/6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/audio-analysis/6ZYxNjuAU9Vy3VtF6W1dtE,199206.0,4.0
We Rollin,Shubh,149147,punjabi hip hop,0.82,0.504,4.0,-9.113,0.0,0.141,0.261,7e-06,0.104,0.275,85.016,audio_features,6ZYxNjuAU9Vy3VtF6W1dtE,spotify:track:6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/tracks/6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/audio-analysis/6ZYxNjuAU9Vy3VtF6W1dtE,199206.0,4.0
NO LOVE,Shubh,34056,punjabi hip hop,0.768,0.487,4.0,-8.936,0.0,0.0431,0.24,0.0,0.175,0.722,137.034,audio_features,08Isz2ETWSBhvIl8UpKYsp,spotify:track:08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/tracks/08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/audio-analysis/08Isz2ETWSBhvIl8UpKYsp,170388.0,4.0
No Bitches,Real Boss,4540,punjabi hip hop,0.71,0.665,0.0,-6.019,1.0,0.428,0.416,0.0,0.119,0.598,88.277,audio_features,5FphPGo9gyIIsFnS1JK4KX,spotify:track:5FphPGo9gyIIsFnS1JK4KX,https://api.spotify.com/v1/tracks/5FphPGo9gyIIsFnS1JK4KX,https://api.spotify.com/v1/audio-analysis/5FphPGo9gyIIsFnS1JK4KX,165378.0,4.0
No Love,Shubh,247883,punjabi hip hop,0.768,0.487,4.0,-8.936,0.0,0.0431,0.24,0.0,0.175,0.722,137.034,audio_features,08Isz2ETWSBhvIl8UpKYsp,spotify:track:08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/tracks/08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/audio-analysis/08Isz2ETWSBhvIl8UpKYsp,170388.0,4.0
WE ROLLIN,Shubh,299129,punjabi hip hop,0.82,0.504,4.0,-9.113,0.0,0.141,0.261,7e-06,0.104,0.275,85.016,audio_features,6ZYxNjuAU9Vy3VtF6W1dtE,spotify:track:6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/tracks/6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/audio-analysis/6ZYxNjuAU9Vy3VtF6W1dtE,199206.0,4.0
We Rollin,Shubh,149147,punjabi hip hop,0.82,0.504,4.0,-9.113,0.0,0.141,0.261,7e-06,0.104,0.275,85.016,audio_features,6ZYxNjuAU9Vy3VtF6W1dtE,spotify:track:6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/tracks/6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/audio-analysis/6ZYxNjuAU9Vy3VtF6W1dtE,199206.0,4.0
